AO	1925	AUS	James Anderson	AUS	Gerald Patterson	11-9, 2-6, 6-2, 6-3	1
FO	1925	FRA	René Lacoste	FRA	Jean Borotra	7-5, 6-1, 6-4	2
WO	1925	FRA	René Lacoste	FRA	Jean Borotra	6-3, 6-3, 4-6, 8-6	3
USO	1925	USA	Bill Tilden	USA	Bill Johnston	4-6, 11-9, 6-3, 4-6, 6-3	4
AO	1926	AUS	John Hawkes	AUS	James Willard	6-1, 6-3, 6-1	1
FO	1926	FRA	Henri Cochet	FRA	René Lacoste	6-2, 6-4, 6-3	2
WO	1926	FRA	Jean Borotra	USA	Howard Kinsey	8-6, 6-1, 6-3	3
USO	1926	FRA	René Lacoste	FRA	Jean Borotra	6-4, 6-0, 6-4	4
AO	1927	AUS	Gerald Patterson	AUS	John Hawkes	3-6, 6-4, 3-6, 18-16, 6-3	1
FO	1927	FRA	René Lacoste	USA	Bill Tilden	6-4, 4-6, 5-7, 6-3, 11-9	2
WO	1927	FRA	Henri Cochet	FRA	Jean Borotra	4-6, 4-6, 6-3, 6-4, 7-5	3
USO	1927	FRA	René Lacoste	USA	Bill Tilden	11-9, 6-3, 11-9	4
AO	1928	FRA	Jean Borotra	AUS	Jack Cummings	6-4, 6-1, 4-6, 5-7, 6-3	1
FO	1928	FRA	Henri Cochet	FRA	René Lacoste	5-7, 6-3, 6-1, 6-3	2
WO	1928	FRA	René Lacoste	FRA	Henri Cochet	6-1, 4-6, 6-4, 6-2	3
USO	1928	FRA	Henri Cochet	USA	Francis Hunter	4-6, 6-4, 3-6, 7-5, 6-3	4
AO	1929	GBR	John Colin Gregory	AUS	Richard Schlesinger	6-2, 6-2, 5-7, 7-5	1
FO	1929	FRA	René Lacoste	FRA	Jean Borotra	6-3, 2-6, 6-0, 2-6, 8-6	2
WO	1929	FRA	Henri Cochet	FRA	Jean Borotra	6-4, 6-3, 6-4	3
USO	1929	USA	Bill Tilden	USA	Francis Hunter	3-6, 6-3, 4-6, 6-2, 6-4	4
AO	1930	AUS	Edgar Moon	AUS	Harry Hopman	6-3, 6-1, 6-3	1
