AO	1954	AUS	Thelma Coyne Long	AUS	Jenny Staley	6–3, 6–4	1
FO	1954	USA	Maureen Connolly	FRA	Ginette Bucaille	6–4, 6–1	2
WO	1954	USA	Maureen Connolly	USA	Louise Brough Clapp	6–2, 7–5	3
USO	1954	USA	Doris Hart	USA	Louise Brough	6–8, 6–1, 8–6	4
AO	1955	AUS	Beryl Penrose Collier	AUS	Thelma Coyne Long	6–4, 6–3	1
FO	1955	GBR	Angela Mortimer Barrett	USA	Dorothy Head Knode	2–6, 7–5, 10–8	2
WO	1955	USA	Louise Brough	USA	Beverly Baker Fleitz	7–5, 8–6	3
USO	1955	USA	Doris Hart (2)	GBR	Patricia Ward Hales	6–4, 6–2	4
AO	1956	AUS	Mary Carter Reitano	AUS	Thelma Coyne Long	3–6, 6–2, 9–7	1
FO	1956	USA	Althea Gibson	GBR	Angela Mortimer Barrett	6–0, 12–10	2
WO	1956	USA	Shirley Fry Irvin	GBR	Angela Buxton	6–3, 6–1	3
USO	1956	USA	Shirley Fry Irvin	USA	Althea Gibson	6–3, 6–4	4
AO	1957	USA	Shirley Fry Irvin	USA	Althea Gibson	6–3, 6–4	1
FO	1957	GBR	Shirley Bloomer Brasher	USA	Dorothy Head Knode	6–1, 6–3	2
WO	1957	USA	Althea Gibson	USA	Darlene Hard	6–3, 6–2	3
USO	1957	USA	Althea Gibson	USA	Louise Brough	6–3, 6–2	4
AO	1958	GBR	Angela Mortimer Barrett	AUS	Lorraine Coghlan Robinson	6–3, 6–4	1
FO	1958	HUN	Zsuzsa Körmöczy	GBR	Shirley Bloomer Brasher	6–4, 1–6, 6–2	2
WO	1958	USA	Althea Gibson	GBR	Angela Mortimer	8–6, 6–2	3
USO	1958	USA	Althea Gibson (2)	USA	Darlene Hard	3–6, 6–1, 6–2	4
AO	1959	AUS	Mary Carter Reitano	ZAF	Renee Schuurman Haygarth	6–2, 6–3	1
FO	1959	GBR	Christine Truman Janes	HUN	Zsuzsa Körmöczy	6–4, 7–5	2
WO	1959	BRA	Maria Bueno	USA	Darlene Hard	6–4, 6–3	3
USO	1959	BRA	Maria Bueno	GBR	Christine Truman Janes	6–1, 6–4	4
AO	1960	AUS	Margaret Court	AUS	Jan Lehane O'Neill	7–5, 6–2	1
FO	1960	USA	Darlene Hard	MEX	Yola Ramírez Ochoa	6–3, 6–4	2
WO	1960	BRA	Maria Bueno	ZAF	Sandra Reynolds Price	8–6, 6–0	3
USO	1960	USA	Darlene Hard	BRA	Maria Bueno	6–4, 10–12, 6–4	4
AO	1961	AUS	Margaret Court	AUS	Jan Lehane O'Neill	6–1, 6–4	1
FO	1961	GBR	Ann Haydon Jones	MEX	Yola Ramírez Ochoa	6–2, 6–1	2
WO	1961	GBR	Angela Mortimer	GBR	Christine Truman Janes	4–6, 6–4, 7–5	3
USO	1961	USA	Darlene Hard (2)	GBR	Ann Haydon Jones	6–3, 6–4	4
AO	1962	AUS	Margaret Court	AUS	Jan Lehane O'Neill	6–0, 6–2	1
FO	1962	AUS	Margaret Court	AUS	Lesley Turner Bowrey	6–3, 3–6, 7–5	2
WO	1962	USA	Karen Hantze Susman	TCH	Věra Pužejová Suková	6–4, 6–4	3
USO	1962	AUS	Margaret Court	USA	Darlene Hard	9–7, 6–4	4
AO	1963	AUS	Margaret Court	AUS	Jan Lehane O'Neill	6–2, 6–2	1
FO	1963	AUS	Lesley Turner Bowrey	GBR	Ann Haydon Jones	2–6, 6–3, 7–5	2
WO	1963	AUS	Margaret Court	USA	Billie Jean King	6–3, 6–4	3
USO	1963	BRA	Maria Bueno (2)	AUS	Margaret Court	7–5, 6–4	4
AO	1964	AUS	Margaret Court	AUS	Lesley Turner Bowrey	6–3, 6–2	1
FO	1964	AUS	Margaret Court	BRA	Maria Bueno	5–7, 6–1, 6–2	2
WO	1964	BRA	Maria Bueno	AUS	Margaret Court	6–4, 7–9, 6–3	3
USO	1964	BRA	Maria Bueno (3)	USA	Carole Caldwell Graebner	6–1, 6–0	4
AO	1965	AUS	Margaret Court	BRA	Maria Bueno	5–7, 6–4, 5–2, retired	1
FO	1965	AUS	Lesley Turner Bowrey	AUS	Margaret Court	6–3, 6–4	2
WO	1965	AUS	Margaret Court	BRA	Maria Bueno	6–4, 7–5	3
USO	1965	AUS	Margaret Court (2)	USA	Billie Jean King	8–6, 7–5	4
AO	1966	AUS	Margaret Court	USA	Nancy Richey	walkover	1
FO	1966	GBR	Ann Haydon Jones	USA	Nancy Richey Gunter	6–3, 6–1	2
WO	1966	USA	Billie Jean King	BRA	Maria Bueno	6–3, 3–6, 6–1	3
USO	1966	BRA	Maria Bueno (4)	USA	Nancy Richey	6–3, 6–1	4
AO	1967	USA	Nancy Richey	AUS	Lesley Turner Bowrey	6–1, 6–4	1
FO	1967	FRA	Françoise Durr	AUS	Lesley Turner Bowrey	4–6, 6–3, 6–4	2
WO	1967	USA	Billie Jean King	GBR	Ann Haydon Jones	6–3, 6–4	3
USO	1967	USA	Billie Jean King	GBR	Ann Haydon Jones	11–9, 6–4	4
AO	1968	USA	Billie Jean King	AUS	Margaret Court	6–1, 6–2	1
FO	1968	USA	Nancy Richey	GBR	Ann Haydon Jones	5–7, 6–4, 6–1	2
WO	1968	USA	Billie Jean King	AUS	Judy Tegart Dalton	9–7, 7–5	3
USO	1968	GBR	Virginia Wade	USA	Billie Jean King	6–4, 6–2	4
AO	1969	AUS	Margaret Court	USA	Billie Jean King	6–4, 6–1	1
FO	1969	AUS	Margaret Court	GBR	Ann Haydon Jones	6–1, 4–6, 6–3	2
WO	1969	GBR	Ann Jones	USA	Billie Jean King	3–6, 6–3, 6–2	3
USO	1969	AUS	Margaret Court (3)	USA	Nancy Richey	6–2, 6–2	4
AO	1970	AUS	Margaret Court	AUS	Kerry Melville Reid	6–1, 6–3	1
FO	1970	AUS	Margaret Court	FRG[k]	Helga Niessen	6–2, 6–4	2
WO	1970	AUS	Margaret Court	USA	Billie Jean King	14–12, 11–9	3
USO	1970	AUS	Margaret Court (4)	USA	Rosemary Casals	6–2, 2–6, 6–1	4
AO	1971	AUS	Margaret Court	AUS	Evonne Goolagong Cawley	2–6, 7–6(7–0), 7–5	1
FO	1971	AUS	Evonne Goolagong Cawley[l]	AUS	Helen Gourlay Cawley	6–3, 7–5	2
WO	1971	AUS	Evonne Goolagong	AUS	Margaret Court	6–4, 6–1	3
